,Pagetag,Sentence
0,Sachin,Sachin Ramesh Tendulkar (/ˌsʌtʃɪn tɛnˈduːlkər/ (listen); born 24 April 1973) is an Indian former international cricketer and a former captain of the Indian national team.
1,Sachin,He is widely regarded as one of the greatest batsmen in the history of cricket.
2,Sachin,He is the highest run scorer of all time in International cricket.
3,Sachin,"Tendulkar took up cricket at the age of eleven, made his Test debut on 15 November 1989 against Pakistan in Karachi at the age of sixteen, and went on to represent Mumbai domestically and India internationally for close to twenty-four years."
4,Sachin,"He is the only player to have scored one hundred international centuries, the first batsman to score a double century in a One Day International (ODI), the holder of the record for the most runs in both Test and ODI, and the only player to complete more than 30,000 runs in international cricket."
5,Sachin,"He is colloquially known as Little Master or Master Blaster,
In 2001, Sachin Tendulkar became the first batsman to complete 10,000 ODI runs in his 259 innings."
6,Sachin,"In 2002, halfway through his career, Wisden Cricketers' Almanack ranked him the second greatest Test batsman of all time, behind Don Bradman, and the second greatest ODI batsman of all time, behind Viv Richards."
7,Sachin,"Later in his career, Tendulkar was a part of the Indian team that won the 2011 World Cup, his first win in six World Cup appearances for India."
8,Sachin,"He had previously been named ""Player of the Tournament"" at the 2003 edition of the tournament, held in South Africa."
9,Sachin,"In 2013, he was the only Indian cricketer included in an all-time Test World XI named to mark the 150th anniversary of Wisden Cricketers' Almanack."
10,Sachin,"Tendulkar received the Arjuna Award in 1994 for his outstanding sporting achievement, the Rajiv Gandhi Khel Ratna award in 1997, India's highest sporting honour, and the Padma Shri and Padma Vibhushan awards in 1999 and 2008, respectively, India's fourth and second highest civilian awards."
11,Sachin,"After a few hours of his final match on 16 November 2013, the Prime Minister's Office announced the decision to award him the Bharat Ratna, India's highest civilian award."
12,Sachin,He is the youngest recipient to date and the first ever sportsperson to receive the award.
13,Sachin,He also won the 2010 Sir Garfield Sobers Trophy for cricketer of the year at the ICC awards.
14,Sachin,"In 2012, Tendulkar was nominated to the Rajya Sabha, the upper house of the Parliament of India."
15,Sachin,He was also the first sportsperson and the first person without an aviation background to be awarded the honorary rank of group captain by the Indian Air Force.
16,Sachin,"In 2012, he was named an Honorary Member of the Order of Australia."
17,Sachin,"In 2010, Time magazine included Sachin in its annual Time 100 list as one of the ""Most Influential People in the World""."
18,Sachin,"In December 2012, Tendulkar announced his retirement from ODIs."
19,Sachin,"He retired from Twenty20 cricket in October 2013 and subsequently retired from all forms of cricket on 16 November 2013 after playing his 200th Test match, against the West Indies in Mumbai's Wankhede Stadium."
20,Sachin,"Tendulkar played 664 international cricket matches in total, scoring 34,357 runs."
21,Sachin,"In 2019, Tendulkar was inducted into the ICC Cricket Hall of Fame."
